mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.00949716567993164,0.0004999637603759766,0.0,0.0,relu,0.05,"(0, 20)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 20), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4025
0.010996580123901367,0.0019998550415039062,0.0,0.0,relu,0.5,"(0, 35)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 35), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4024
0.010001778602600098,3.4570693969726562e-06,0.0,0.0,relu,0.001,"(11, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (11, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4023
0.010500073432922363,0.0005027055740356445,0.0,0.0,relu,10,"(0, 13)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 13), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4022
0.009999513626098633,7.152557373046875e-07,0.0,0.0,relu,0.05,"(0, 13)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 13), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4021
0.008996248245239258,2.384185791015625e-07,0.0,0.0,relu,0.05,"(13, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (13, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4020
0.009996652603149414,9.5367431640625e-07,0.0,0.0,relu,0.001,"(20, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (20, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4019
0.012495875358581543,0.0015009641647338867,0.0,0.0,relu,10,"(13, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (13, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4018
0.00999748706817627,1.7881393432617188e-06,0.0,0.0,relu,1,"(20, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (20, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4017
0.010994672775268555,2.384185791015625e-07,0.0,0.0,relu,1,"(0, 20)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 20), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4016
0.01049649715423584,0.001498579978942871,0.0,0.0,relu,0.05,"(0, 25)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 25), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4015
0.008995771408081055,9.5367431640625e-07,0.0,0.0,relu,1,"(35, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (35, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4014
0.013995170593261719,0.004997730255126953,0.0,0.0,relu,10,"(35, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (35, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4013
0.010498642921447754,0.0005003213882446289,0.0,0.0,relu,1,"(0, 200)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 200), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4012
0.010995984077453613,1.1920928955078125e-07,0.0,0.0,relu,1,"(200, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (200, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4011
0.017994165420532227,0.007997751235961914,0.0,0.0,relu,10,"(0, 35)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 35), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4010
0.011496186256408691,0.0014990568161010742,0.0,0.0,relu,10,"(100, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (100, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4009
0.009496569633483887,0.0005027055740356445,0.0,0.0,relu,0.05,"(0, 12)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 12), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4008
0.010493278503417969,0.0004978179931640625,0.0,0.0,relu,0.05,"(10, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (10, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4007
0.009997725486755371,1.1920928955078125e-07,0.0,0.0,relu,0.05,"(40, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (40, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4006
0.008996248245239258,1.6689300537109375e-06,0.0,0.0,relu,0.05,"(20, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (20, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4005
0.01149606704711914,0.0014989376068115234,0.0,0.0,relu,0.05,"(0, 40)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 40), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4004
0.01849210262298584,0.008497118949890137,0.0,0.0,relu,1,"(0, 150)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 150), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4003
0.009497523307800293,0.0005003213882446289,0.0,0.0,relu,1,"(30, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (30, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4002
0.012497425079345703,0.001499176025390625,0.0,0.0,relu,1,"(150, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (150, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4001
0.010497808456420898,0.0004994869232177734,0.0,0.0,relu,0.05,"(100, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4000
0.010997176170349121,0.0009995698928833008,0.0,0.0,relu,0.05,"(0, 100)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 100), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3999
0.01099705696105957,0.0010004043579101562,0.0,0.0,relu,0.001,"(0, 10)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 10), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3998
