mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
18.37879240512848,0.23144781589508057,0.020790457725524902,0.001202702522277832,1,"(14,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (14,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8344099251512355,0.8408694760586486,0.8376397006049421,0.0032297754537065626,68
19.16880762577057,0.10958993434906006,0.017278313636779785,0.0022832155227661133,1,"(10,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8367681738952117,0.8394852865784886,0.8381267302368502,0.0013585563416384505,67
17.84620726108551,0.024145007133483887,0.015994906425476074,1.1920928955078125e-07,1,"(15,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (15,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8379985645442428,0.8384599610376294,0.8382292627909361,0.00023069824669330607,66
13.529617667198181,0.05196845531463623,0.012496113777160645,0.0004998445510864258,0.05,"(11,)",adaptive,sgd,"{'alpha': 0.05, 'hidden_layer_sizes': (11,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.836460576232954,0.8400492156259612,0.8382548959294576,0.0017943196965036212,65
20.18777310848236,2.7504857778549194,0.018493294715881348,0.0024999380111694336,1,"(12,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (12,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8383061622065006,0.8386650261458013,0.8384855941761509,0.0001794319696503677,64
18.848761796951294,0.848254919052124,0.01749122142791748,0.0004955530166625977,1,"(11,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (11,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8361017122936533,0.8409720086127346,0.838536860453194,0.0024351481595406566,63
24.99897611141205,0.33000075817108154,0.02499222755432129,0.008997201919555664,1,"(13,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (13,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8365118425099969,0.8413308725520353,0.8389213575310162,0.002409515021019215,62
13.211701512336731,0.4285985231399536,0.014496564865112305,0.0005021095275878906,0.5,"(13,)",adaptive,sgd,"{'alpha': 0.5, 'hidden_layer_sizes': (13,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8350251204757511,0.8428688608633241,0.8389469906695376,0.003921870193786536,61
12.72908353805542,0.2866847515106201,0.012494564056396484,0.0004992485046386719,0.5,"(10,)",adaptive,sgd,"{'alpha': 0.5, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8402542807341331,0.8381010970983287,0.8391776889162309,0.001076591817902206,60
12.745608806610107,0.7655086517333984,0.01399528980255127,0.0019992589950561523,0.0001,"(12,)",adaptive,sgd,"{'alpha': 0.0001, 'hidden_layer_sizes': (12,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8400492156259612,0.8387162924228443,0.8393827540244028,0.0006664616015584768,59
12.8690687417984,0.35788142681121826,0.016994237899780273,0.003998994827270508,0.5,"(12,)",adaptive,sgd,"{'alpha': 0.5, 'hidden_layer_sizes': (12,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8388188249769302,0.8407669435045627,0.8397928842407465,0.0009740592638162737,58
13.501919269561768,0.47348976135253906,0.01249539852142334,0.0005003213882446289,0.05,"(14,)",adaptive,sgd,"{'alpha': 0.05, 'hidden_layer_sizes': (14,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8399466830718754,0.8397928842407464,0.8398697836563109,7.689941556449087e-05,57
14.308226227760315,0.12977778911590576,0.0205078125,0.004484415054321289,0.0001,"(18,)",adaptive,sgd,"{'alpha': 0.0001, 'hidden_layer_sizes': (18,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8415359376602071,0.8386650261458013,0.8401004819030042,0.0014354557572028859,55
18.47830593585968,0.18980014324188232,0.021749377250671387,0.0012434720993041992,1,"(18,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (18,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8396903516866605,0.8405106121193479,0.8401004819030042,0.00041013021634367375,55
21.14532768726349,0.7188335657119751,0.025020837783813477,0.002028226852416992,1,"(25,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8397928842407464,0.8408182097816057,0.840305547011176,0.0005126627704296616,53
14.460193157196045,0.09171175956726074,0.0164949893951416,0.0014994144439697266,0.0001,"(15,)",adaptive,sgd,"{'alpha': 0.0001, 'hidden_layer_sizes': (15,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8424587306469804,0.8381523633753717,0.840305547011176,0.0021531836358043566,53
25.236968278884888,0.09305214881896973,0.03525948524475098,0.0002734661102294922,1,"(40,)",adaptive,sgd,"{'alpha': 1, 'hidden_layer_sizes': (40,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8399979493489182,0.8407669435045627,0.8403824464267404,0.0003844970778222323,52
13.128907442092896,0.33792734146118164,0.014496445655822754,0.000502467155456543,0.05,"(15,)",adaptive,sgd,"{'alpha': 0.05, 'hidden_layer_sizes': (15,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.8418435353224649,0.839075156362145,0.840459345842305,0.0013841894801599475,51
